route_code,origin,destination,terminal_name,zone,dispatch_datetime,scheduled_minutes,actual_minutes,passengers_boarded
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-01T00:00:00,27,28,70
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-01T00:00:00,27,28,70
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-01T00:00:00,27,28,70
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-01T00:00:00,27,28,70
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-01T00:00:00,27,28,70
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-01T00:00:00,27,28,70
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
E5,Plaza Metro,Hub Este,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
F6,Hub Oeste,Centro Intermodal,Plaza Metro,Central,2019-01-03T00:00:00,31,34,72
A1,Centro Intermodal,Terminal Norte,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
B2,Terminal Sur,Centro Intermodal,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
C3,Hub Este,Hub Oeste,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
D4,Terminal Norte,Terminal Sur,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
E5,Plaza Metro,Hub Este,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
F6,Hub Oeste,Centro Intermodal,Terminal Norte,Norte,2019-01-05T00:00:00,35,40,74
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-07T00:00:00,39,46,76
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-07T00:00:00,39,46,76
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-07T00:00:00,39,46,76
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-07T00:00:00,39,46,76
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-07T00:00:00,39,46,76
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-07T00:00:00,39,46,76
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
