observed_date,precipitation_mm,condition,severe,temperature_c,wind_kmh,humidity_pct,visibility_km
2014-01-01,0.6,Parcialmente nublado,False,28.7,5.0,63,8.4
2014-01-02,0.9,Parcialmente nublado,False,23.2,26.3,70,10.3
2014-01-03,0.4,Despejado,False,27.7,8.2,87,7.2
2014-01-04,13.9,Lluvia ligera,False,32.3,13.1,69,7.9
2014-01-05,0.2,Despejado,False,30.1,22.4,78,10.0
2014-01-06,0.2,Parcialmente nublado,False,30.0,21.3,62,8.2
2014-01-07,12.7,Lluvia ligera,False,28.7,16.4,80,10.4
2014-01-08,1.0,Parcialmente nublado,False,24.3,24.7,85,9.5
2014-01-09,0.6,Parcialmente nublado,False,23.2,15.1,66,8.8
2014-01-10,12.4,Lluvia ligera,False,33.1,16.7,80,9.6
2014-01-11,0.2,Despejado,False,28.0,5.0,79,8.1
2014-01-12,0.2,Despejado,False,26.3,11.8,69,9.2
2014-01-13,0.1,Parcialmente nublado,False,21.2,16.6,90,9.0
2014-01-14,0.1,Despejado,False,24.0,9.7,77,8.3
2014-01-15,0.0,Despejado,False,24.7,15.0,63,10.8
2014-01-16,0.4,Despejado,False,29.4,20.3,87,9.8
2014-01-17,0.2,Despejado,False,30.8,33.3,64,9.0
2014-01-18,0.4,Parcialmente nublado,False,24.4,24.8,68,10.1
2014-01-19,0.2,Despejado,False,28.9,16.9,76,8.6
2014-01-20,0.3,Despejado,False,31.0,16.7,79,8.3
2014-01-21,0.1,Despejado,False,23.7,17.9,87,8.1
2014-01-22,0.3,Despejado,False,28.8,22.5,81,7.0
2014-01-23,0.4,Nublado,False,31.5,34.4,61,8.1
2014-01-24,0.2,Despejado,False,29.6,17.3,84,6.9
2014-01-25,0.6,Parcialmente nublado,False,29.2,14.6,85,9.0
2014-01-26,0.4,Despejado,False,25.0,9.1,73,10.2
2014-01-27,0.2,Despejado,False,25.5,21.0,81,9.0
2014-01-28,1.9,Nublado,False,23.8,28.6,90,9.5
2014-01-29,0.1,Despejado,False,28.6,26.6,62,8.4
2014-01-30,1.2,Nublado,False,25.9,19.5,83,9.2
2014-01-31,0.3,Despejado,False,31.0,8.2,86,6.9
2014-02-01,0.4,Despejado,False,22.8,18.3,83,7.4
2014-02-02,7.3,Lluvia ligera,False,30.6,29.2,73,10.3
2014-02-03,0.0,Despejado,False,32.0,5.0,87,8.4
2014-02-04,0.4,Despejado,False,28.8,15.5,71,8.9
2014-02-05,4.2,Lluvia ligera,False,29.5,16.3,82,6.8
